date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Free Cash Flow,Normalized EBITDA,Gross Profit,Net Income,Basic EPS
2020-07-31,197.69005348041506,198.3670860380336,192.47699428561566,198.280029296875,51044000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-03,204.57633832323347,210.49542950298573,203.53179021659219,209.43153381347656,78983000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-04,207.13935514071915,207.71966460714907,203.40606829332287,206.28823852539062,49280100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-05,207.84540299569989,207.94212616683802,204.62473095875134,205.9497528076172,28806400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-06,205.36940112202944,209.2671050407472,204.60534135532703,209.24777221679688,32656800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-07,207.7970616418998,208.6191495866942,204.00573165009365,205.50485229492188,27820400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-10,204.72142484852998,204.92453759035715,199.57607423087487,201.4136962890625,36716500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-11,200.3594942833831,200.83339944764106,196.47145600954215,196.70358276367188,36446500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-12,198.550863335546,203.37706008706476,198.02859660719346,202.32284545898438,28013100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-13,202.5646510936231,204.41195447832857,201.31699005578963,201.84893798828125,22588900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-14,201.90695481928313,202.7097098806567,200.6979890204464,202.0423583984375,17958900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-17,202.71937442090675,204.2571752489732,202.06168940619702,203.37704467773438,20184800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-18,203.6188709792335,205.38879882272298,202.34221066658083,204.54736328125,21336200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-19,205.04178280290688,205.63318480493382,202.87007393782054,203.3063507080078,27627600,0.51,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-20,203.15124078127613,208.44477506655008,202.54045917442113,208.03758239746094,26981500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-21,207.33953181556348,209.65666149420804,206.36033146212665,206.525146484375,36249300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-24,208.24118120785567,208.94893461741592,205.95313553481455,207.1747283935547,25460100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-25,206.60271855185837,210.00569549434675,206.60271855185837,209.86996459960938,23043700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-26,211.2369681610038,215.318599384726,210.73281852136847,214.40725708007812,39600800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-27,216.09419576579936,224.1023472076425,212.71059877926479,219.67169189453125,57602200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-28,221.22294112826293,223.60794392388593,219.67173290751575,221.93069458007812,26292900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-08-31,220.07886804181828,221.72703281734113,217.4708826130323,218.6536865234375,28774200,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-01,218.63431968188777,220.51517252340207,217.5872465084605,220.34066772460938,25725500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-02,221.01933572900194,225.76024203697267,220.41824388260878,224.58712768554688,34080800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-03,222.27967883226086,222.31845274350692,208.40598579723732,210.6746368408203,58400300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-04,208.54171067705354,211.70230952392754,198.93385824622845,207.71762084960938,59664100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-08,200.20391960231075,203.62629050694323,196.03502146544,196.4810028076172,52924300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-09,201.270403497393,208.28965066958835,200.3978350941777,204.84788513183594,45679000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
